Work_Schedule_Id,Day_Name,Start_Date_Time,End_Date_Time,Other_Details


,
,,
,,,
,,,,
Test,,,,
Test,Test,,,
Test,Test,Test,,
Test,Test,Test,Test,
Test,Test,Test,Test,Test
Dup,Dup,Dup,Dup,Dup
Dup,Dup,Dup,Dup,Dup
WW1853,Thursday,Wednesday,2020-01-01 14:19:24,2020-01-01 16:31:15,Detail
WW1854,Saturday,Thursday,2020-01-01 22:52:49,2020-01-01 23:57:35,Detail
WW1855,Thursday,Sunday,2020-01-01 6:12:28,2020-01-01 0:0:4,Detail
WW1856,Monday,Thursday,2020-01-01 7:30:23,2020-01-01 14:7:10,Detail
WW1857,Friday,Thursday,2020-01-01 15:53:6,2020-01-01 22:16:50,Detail
WW1858,Monday,Saturday,2020-01-01 23:4:26,2020-01-01 6:13:26,Detail
WW1859,Saturday,Sunday,2020-01-01 0:0:34,2020-01-01 7:28:49,Detail
WW1860,Wednesday,Sunday,2020-01-01 14:9:14,2020-01-01 15:53:37,Detail
WW1861,Monday,Friday,2020-01-01 22:49:52,2020-01-01 23:29:4,Detail
WW1862,Monday,Tuesday,2020-01-01 6:55:31,2020-01-01 0:0:10,Detail
WW1863,Friday,Sunday,2020-01-01 7:41:46,2020-01-01 14:23:40,Detail
WW1864,Friday,Wednesday,2020-01-01 16:11:31,2020-01-01 22:36:18,Detail
WW1865,Sunday,Sunday,2020-01-01 23:41:14,2020-01-01 6:42:33,Detail
WW1866,Tuesday,Tuesday,2020-01-01 0:0:46,2020-01-01 7:10:27,Detail
WW1867,Friday,Monday,2020-01-01 14:10:58,2020-01-01 15:37:41,Detail
WW1868,Saturday,Friday,2020-01-01 22:9:16,2020-01-01 23:24:4,Detail
WW1869,Tuesday,Friday,2020-01-01 6:8:11,2020-01-01 0:0:20,Detail
WW1870,Friday,Monday,2020-01-01 7:44:33,2020-01-01 14:9:33,Detail
WW1871,Monday,Wednesday,2020-01-01 16:24:14,2020-01-01 22:4:59,Detail
WW1872,Friday,Tuesday,2020-01-01 23:29:30,2020-01-01 6:12:1,Detail
WW1873,Friday,Tuesday,2020-01-01 0:0:15,2020-01-01 7:12:33,Detail
WW1874,Saturday,Wednesday,2020-01-01 14:56:27,2020-01-01 16:5:47,Detail
WW1875,Wednesday,Monday,2020-01-01 22:30:36,2020-01-01 23:53:14,Detail
WW1876,Wednesday,Saturday,2020-01-01 6:15:52,2020-01-01 0:0:12,Detail
WW1877,Tuesday,Tuesday,2020-01-01 7:4:10,2020-01-01 14:47:20,Detail
WW1878,Monday,Sunday,2020-01-01 15:49:38,2020-01-01 22:53:24,Detail
WW1879,Tuesday,Wednesday,2020-01-01 23:55:37,2020-01-01 6:45:11,Detail
WW1880,Sunday,Saturday,2020-01-01 0:0:1,2020-01-01 7:55:13,Detail
WW1881,Wednesday,Wednesday,2020-01-01 14:55:9,2020-01-01 15:45:8,Detail
WW1882,Tuesday,Saturday,2020-01-01 22:41:43,2020-01-01 23:27:15,Detail
WW1883,Friday,Monday,2020-01-01 6:40:35,2020-01-01 0:0:29,Detail
WW1884,Friday,Saturday,2020-01-01 8:23:44,2020-01-01 14:43:19,Detail
WW1885,Saturday,Monday,2020-01-01 15:12:31,2020-01-01 22:27:18,Detail
WW1886,Thursday,Sunday,2020-01-01 23:31:21,2020-01-01 6:12:48,Detail
WW1887,Sunday,Wednesday,2020-01-01 0:0:46,2020-01-01 8:55:12,Detail
WW1888,Wednesday,Sunday,2020-01-01 14:59:43,2020-01-01 15:15:41,Detail
WW1889,Friday,Wednesday,2020-01-01 22:20:21,2020-01-01 23:58:11,Detail
WW1890,Tuesday,Saturday,2020-01-01 6:4:38,2020-01-01 0:0:9,Detail
WW1891,Sunday,Friday,2020-01-01 7:54:59,2020-01-01 14:5:26,Detail
WW1892,Sunday,Friday,2020-01-01 16:39:33,2020-01-01 22:31:13,Detail
WW1893,Saturday,Tuesday,2020-01-01 23:23:32,2020-01-01 6:28:32,Detail
WW1894,Friday,Tuesday,2020-01-01 0:0:35,2020-01-01 7:16:51,Detail
WW1895,Thursday,Friday,2020-01-01 14:45:5,2020-01-01 15:10:50,Detail
WW1896,Wednesday,Sunday,2020-01-01 22:33:43,2020-01-01 23:48:44,Detail
WW1897,Tuesday,Tuesday,2020-01-01 6:35:57,2020-01-01 0:0:24,Detail
WW1898,Friday,Sunday,2020-01-01 8:21:36,2020-01-01 14:22:22,Detail
WW1899,Sunday,Wednesday,2020-01-01 16:57:44,2020-01-01 22:50:19,Detail
WW1900,Sunday,Tuesday,2020-01-01 23:26:1,2020-01-01 6:13:17,Detail
WW1901,Monday,Sunday,2020-01-01 0:0:4,2020-01-01 7:37:24,Detail
WW1902,Friday,Thursday,2020-01-01 14:23:45,2020-01-01 15:17:11,Detail
WW1903,Friday,Friday,2020-01-01 22:43:17,2020-01-01 23:28:5,Detail
WW1904,Thursday,Wednesday,2020-01-01 6:35:48,2020-01-01 0:0:2,Detail
WW1905,Sunday,Monday,2020-01-01 8:18:55,2020-01-01 14:32:4,Detail
WW1906,Monday,Tuesday,2020-01-01 16:38:9,2020-01-01 22:37:5,Detail
WW1907,Friday,Sunday,2020-01-01 23:54:34,2020-01-01 6:37:59,Detail
WW1908,Saturday,Wednesday,2020-01-01 0:0:10,2020-01-01 7:53:19,Detail
WW1909,Friday,Wednesday,2020-01-01 14:2:39,2020-01-01 16:14:34,Detail
WW1910,Wednesday,Tuesday,2020-01-01 22:18:45,2020-01-01 23:55:58,Detail
WW1911,Saturday,Sunday,2020-01-01 6:5:20,2020-01-01 0:0:6,Detail
WW1912,Sunday,Saturday,2020-01-01 7:23:1,2020-01-01 14:19:6,Detail
WW1913,Sunday,Saturday,2020-01-01 16:13:10,2020-01-01 22:20:55,Detail
WW1914,Saturday,Thursday,2020-01-01 23:45:3,2020-01-01 6:16:2,Detail
WW1915,Monday,Monday,2020-01-01 0:0:44,2020-01-01 7:36:49,Detail
WW1916,Tuesday,Tuesday,2020-01-01 14:0:30,2020-01-01 15:4:18,Detail
WW1917,Saturday,Sunday,2020-01-01 22:11:8,2020-01-01 23:39:4,Detail
WW1918,Monday,Saturday,2020-01-01 6:51:58,2020-01-01 0:0:0,Detail
WW1919,Monday,Monday,2020-01-01 8:25:47,2020-01-01 14:36:29,Detail
WW1920,Saturday,Saturday,2020-01-01 16:8:19,2020-01-01 22:10:11,Detail
WW1921,Tuesday,Monday,2020-01-01 23:34:20,2020-01-01 6:49:25,Detail
WW1922,Thursday,Thursday,2020-01-01 0:0:34,2020-01-01 7:14:7,Detail
WW1923,Thursday,Saturday,2020-01-01 14:13:37,2020-01-01 15:10:55,Detail
WW1924,Sunday,Saturday,2020-01-01 22:9:44,2020-01-01 23:32:30,Detail
WW1925,Saturday,Wednesday,2020-01-01 6:44:36,2020-01-01 0:0:46,Detail
WW1926,Sunday,Saturday,2020-01-01 8:2:58,2020-01-01 14:54:15,Detail
WW1927,Saturday,Tuesday,2020-01-01 15:26:42,2020-01-01 22:59:58,Detail
WW1928,Saturday,Friday,2020-01-01 23:14:35,2020-01-01 6:21:39,Detail
WW1929,Sunday,Saturday,2020-01-01 0:0:33,2020-01-01 8:58:46,Detail
WW1930,Thursday,Thursday,2020-01-01 14:38:35,2020-01-01 15:57:9,Detail
WW1931,Tuesday,Saturday,2020-01-01 22:0:51,2020-01-01 23:29:15,Detail
WW1932,Thursday,Monday,2020-01-01 6:51:50,2020-01-01 0:0:33,Detail
WW1933,Sunday,Monday,2020-01-01 7:45:28,2020-01-01 14:59:5,Detail
WW1934,Tuesday,Sunday,2020-01-01 16:54:6,2020-01-01 22:48:19,Detail
WW1935,Thursday,Thursday,2020-01-01 23:24:12,2020-01-01 6:56:11,Detail
WW1936,Thursday,Monday,2020-01-01 0:0:57,2020-01-01 8:4:56,Detail
WW1937,Thursday,Saturday,2020-01-01 14:6:54,2020-01-01 15:25:33,Detail
WW1938,Thursday,Friday,2020-01-01 22:43:30,2020-01-01 23:24:42,Detail
WW1939,Saturday,Friday,2020-01-01 6:1:44,2020-01-01 0:0:24,Detail
WW1940,Wednesday,Tuesday,2020-01-01 7:0:51,2020-01-01 14:36:33,Detail
WW1941,Wednesday,Wednesday,2020-01-01 15:54:40,2020-01-01 22:1:43,Detail
WW1942,Thursday,Monday,2020-01-01 23:47:24,2020-01-01 6:40:33,Detail
WW1943,Thursday,Sunday,2020-01-01 0:0:1,2020-01-01 7:50:9,Detail
WW1944,Monday,Tuesday,2020-01-01 14:36:58,2020-01-01 15:49:47,Detail
WW1945,Saturday,Monday,2020-01-01 22:46:17,2020-01-01 23:3:1,Detail
WW1946,Saturday,Saturday,2020-01-01 6:6:15,2020-01-01 0:0:43,Detail
WW1947,Monday,Tuesday,2020-01-01 8:55:38,2020-01-01 14:33:10,Detail
WW1948,Tuesday,Wednesday,2020-01-01 15:4:30,2020-01-01 22:44:42,Detail
WW1949,Sunday,Wednesday,2020-01-01 23:18:46,2020-01-01 6:58:36,Detail
WW1950,Thursday,Tuesday,2020-01-01 0:0:50,2020-01-01 8:3:58,Detail
WW1951,Sunday,Monday,2020-01-01 14:12:23,2020-01-01 15:34:34,Detail
WW1952,Wednesday,Saturday,2020-01-01 22:51:50,2020-01-01 23:5:8,Detail
WW1953,Thursday,Sunday,2020-01-01 6:7:56,2020-01-01 0:0:10,Detail
WW1954,Wednesday,Wednesday,2020-01-01 7:13:4,2020-01-01 14:27:27,Detail
WW1955,Friday,Sunday,2020-01-01 16:53:10,2020-01-01 22:7:37,Detail
WW1956,Sunday,Thursday,2020-01-01 23:44:44,2020-01-01 6:44:40,Detail
WW1957,Friday,Thursday,2020-01-01 0:0:47,2020-01-01 7:44:59,Detail
WW1958,Thursday,Monday,2020-01-01 14:3:34,2020-01-01 16:33:41,Detail
WW1959,Wednesday,Sunday,2020-01-01 22:12:47,2020-01-01 23:2:31,Detail
WW1960,Friday,Saturday,2020-01-01 6:32:37,2020-01-01 0:0:32,Detail
WW1961,Saturday,Sunday,2020-01-01 8:11:45,2020-01-01 14:9:29,Detail
WW1962,Sunday,Tuesday,2020-01-01 15:12:13,2020-01-01 22:8:47,Detail
WW1963,Tuesday,Thursday,2020-01-01 23:3:17,2020-01-01 6:37:3,Detail
WW1964,Thursday,Monday,2020-01-01 0:0:1,2020-01-01 7:19:52,Detail
WW1965,Thursday,Monday,2020-01-01 14:22:8,2020-01-01 15:10:14,Detail
WW1966,Sunday,Saturday,2020-01-01 22:12:3,2020-01-01 23:23:6,Detail
WW1967,Monday,Wednesday,2020-01-01 6:40:9,2020-01-01 0:0:42,Detail
WW1968,Thursday,Sunday,2020-01-01 7:50:18,2020-01-01 14:37:27,Detail
WW1969,Wednesday,Monday,2020-01-01 16:48:49,2020-01-01 22:59:55,Detail
WW1970,Sunday,Sunday,2020-01-01 23:21:27,2020-01-01 6:3:19,Detail
WW1971,Monday,Sunday,2020-01-01 0:0:47,2020-01-01 7:15:22,Detail
WW1972,Thursday,Sunday,2020-01-01 14:58:20,2020-01-01 15:2:3,Detail
WW1973,Monday,Saturday,2020-01-01 22:52:46,2020-01-01 23:5:9,Detail
WW1974,Sunday,Thursday,2020-01-01 6:55:22,2020-01-01 0:0:56,Detail
WW1975,Thursday,Wednesday,2020-01-01 8:10:49,2020-01-01 14:57:15,Detail
WW1976,Friday,Wednesday,2020-01-01 16:23:3,2020-01-01 22:6:47,Detail
WW1977,Sunday,Friday,2020-01-01 23:39:58,2020-01-01 6:36:5,Detail
WW1978,Saturday,Monday,2020-01-01 0:0:9,2020-01-01 7:46:59,Detail
WW1979,Tuesday,Monday,2020-01-01 14:48:7,2020-01-01 15:27:59,Detail
WW1980,Tuesday,Friday,2020-01-01 22:33:46,2020-01-01 23:48:25,Detail
WW1981,Friday,Sunday,2020-01-01 6:6:47,2020-01-01 0:0:59,Detail
WW1982,Saturday,Sunday,2020-01-01 8:39:14,2020-01-01 14:4:44,Detail
WW1983,Saturday,Tuesday,2020-01-01 15:45:23,2020-01-01 22:8:7,Detail
WW1984,Sunday,Tuesday,2020-01-01 23:53:40,2020-01-01 6:7:19,Detail
WW1985,Monday,Friday,2020-01-01 0:0:31,2020-01-01 8:18:11,Detail
WW1986,Tuesday,Monday,2020-01-01 14:53:58,2020-01-01 16:35:32,Detail
WW1987,Friday,Sunday,2020-01-01 22:24:56,2020-01-01 23:8:30,Detail
WW1988,Monday,Thursday,2020-01-01 6:31:25,2020-01-01 0:0:43,Detail
WW1989,Saturday,Tuesday,2020-01-01 7:31:2,2020-01-01 14:29:19,Detail
WW1990,Monday,Thursday,2020-01-01 15:20:29,2020-01-01 22:48:12,Detail
WW1991,Friday,Wednesday,2020-01-01 23:27:11,2020-01-01 6:24:25,Detail
WW1992,Thursday,Friday,2020-01-01 0:0:16,2020-01-01 8:9:45,Detail
WW1993,Thursday,Sunday,2020-01-01 14:8:0,2020-01-01 15:3:15,Detail
WW1994,Sunday,Sunday,2020-01-01 22:22:25,2020-01-01 23:34:42,Detail
WW1995,Friday,Wednesday,2020-01-01 6:21:27,2020-01-01 0:0:52,Detail
WW1996,Monday,Wednesday,2020-01-01 7:2:56,2020-01-01 14:52:58,Detail
WW1997,Sunday,Sunday,2020-01-01 15:45:37,2020-01-01 22:30:55,Detail
WW1998,Saturday,Thursday,2020-01-01 23:2:1,2020-01-01 6:8:21,Detail
WW1999,Monday,Thursday,2020-01-01 0:0:48,2020-01-01 8:25:4,Detail
WW2000,Wednesday,Saturday,2020-01-01 14:55:30,2020-01-01 15:17:6,Detail
WW2001,Thursday,Saturday,2020-01-01 22:50:25,2020-01-01 23:49:14,Detail
WW2002,Wednesday,Tuesday,2020-01-01 6:33:21,2020-01-01 0:0:38,Detail
WW2003,Monday,Wednesday,2020-01-01 7:5:7,2020-01-01 14:17:47,Detail
WW2004,Sunday,Thursday,2020-01-01 15:7:26,2020-01-01 22:37:4,Detail
WW2005,Friday,Friday,2020-01-01 23:28:25,2020-01-01 6:43:0,Detail
WW2006,Saturday,Friday,2020-01-01 0:0:42,2020-01-01 7:25:36,Detail
WW2007,Saturday,Sunday,2020-01-01 14:59:2,2020-01-01 16:2:30,Detail
WW2008,Saturday,Wednesday,2020-01-01 22:16:41,2020-01-01 23:51:49,Detail
WW2009,Thursday,Thursday,2020-01-01 6:32:0,2020-01-01 0:0:43,Detail
WW2010,Thursday,Saturday,2020-01-01 7:31:42,2020-01-01 14:18:27,Detail
WW2011,Monday,Saturday,2020-01-01 15:4:0,2020-01-01 22:27:59,Detail
WW2012,Tuesday,Tuesday,2020-01-01 23:2:48,2020-01-01 6:51:30,Detail
WW2013,Sunday,Saturday,2020-01-01 0:0:36,2020-01-01 8:20:15,Detail
WW2014,Saturday,Sunday,2020-01-01 14:21:51,2020-01-01 16:52:32,Detail
WW2015,Sunday,Wednesday,2020-01-01 22:9:36,2020-01-01 23:50:28,Detail
WW2016,Sunday,Wednesday,2020-01-01 6:0:56,2020-01-01 0:0:43,Detail
WW2017,Monday,Friday,2020-01-01 8:25:47,2020-01-01 14:30:9,Detail
WW2018,Saturday,Monday,2020-01-01 15:18:13,2020-01-01 22:26:52,Detail
WW2019,Thursday,Wednesday,2020-01-01 23:20:36,2020-01-01 6:38:6,Detail
WW2020,Tuesday,Thursday,2020-01-01 0:0:57,2020-01-01 8:1:15,Detail
WW2021,Tuesday,Thursday,2020-01-01 14:16:43,2020-01-01 16:20:58,Detail
WW2022,Thursday,Thursday,2020-01-01 22:24:13,2020-01-01 23:20:4,Detail
WW2023,Thursday,Tuesday,2020-01-01 6:4:11,2020-01-01 0:0:44,Detail
WW2024,Thursday,Tuesday,2020-01-01 8:49:38,2020-01-01 14:18:33,Detail
WW2025,Wednesday,Tuesday,2020-01-01 15:44:47,2020-01-01 22:34:31,Detail
WW2026,Thursday,Friday,2020-01-01 23:0:21,2020-01-01 6:16:9,Detail
WW2027,Friday,Friday,2020-01-01 0:0:0,2020-01-01 8:41:37,Detail
WW2028,Friday,Friday,2020-01-01 14:27:40,2020-01-01 15:41:14,Detail
WW2029,Saturday,Saturday,2020-01-01 22:46:29,2020-01-01 23:9:4,Detail
WW2030,Wednesday,Monday,2020-01-01 6:18:37,2020-01-01 0:0:10,Detail
WW2031,Friday,Thursday,2020-01-01 7:9:32,2020-01-01 14:3:37,Detail
WW2032,Sunday,Wednesday,2020-01-01 15:57:45,2020-01-01 22:59:14,Detail
WW2033,Tuesday,Sunday,2020-01-01 23:4:36,2020-01-01 6:10:21,Detail
WW2034,Monday,Wednesday,2020-01-01 0:0:52,2020-01-01 8:55:43,Detail
WW2035,Thursday,Saturday,2020-01-01 14:42:43,2020-01-01 16:15:38,Detail
WW2036,Saturday,Sunday,2020-01-01 22:34:19,2020-01-01 23:43:13,Detail
WW2037,Monday,Wednesday,2020-01-01 6:14:9,2020-01-01 0:0:14,Detail
WW2038,Tuesday,Sunday,2020-01-01 7:21:41,2020-01-01 14:32:25,Detail
WW2039,Sunday,Thursday,2020-01-01 15:0:9,2020-01-01 22:1:7,Detail
WW2040,Friday,Saturday,2020-01-01 23:18:15,2020-01-01 6:19:18,Detail
WW2041,Saturday,Thursday,2020-01-01 0:0:1,2020-01-01 7:14:59,Detail
WW2042,Saturday,Monday,2020-01-01 14:4:54,2020-01-01 15:49:25,Detail
WW2043,Friday,Monday,2020-01-01 22:0:34,2020-01-01 23:7:1,Detail
WW2044,Monday,Thursday,2020-01-01 6:52:29,2020-01-01 0:0:20,Detail
WW2045,Tuesday,Sunday,2020-01-01 7:15:40,2020-01-01 14:11:6,Detail
WW2046,Saturday,Saturday,2020-01-01 16:6:16,2020-01-01 22:3:6,Detail
WW2047,Wednesday,Sunday,2020-01-01 23:25:43,2020-01-01 6:38:56,Detail
WW2048,Sunday,Friday,2020-01-01 0:0:2,2020-01-01 8:33:7,Detail
WW2049,Monday,Wednesday,2020-01-01 14:25:56,2020-01-01 16:44:11,Detail
WW2050,Thursday,Sunday,2020-01-01 22:46:40,2020-01-01 23:26:47,Detail
WW2051,Saturday,Friday,2020-01-01 6:3:21,2020-01-01 0:0:9,Detail
WW2052,Monday,Sunday,2020-01-01 7:28:9,2020-01-01 14:30:1,Detail
WW2053,Friday,Wednesday,2020-01-01 16:27:0,2020-01-01 22:3:20,Detail
WW2054,Thursday,Thursday,2020-01-01 23:6:50,2020-01-01 6:39:21,Detail
WW2055,Sunday,Monday,2020-01-01 0:0:7,2020-01-01 8:28:42,Detail
WW2056,Tuesday,Wednesday,2020-01-01 14:52:17,2020-01-01 16:15:50,Detail
WW2057,Thursday,Tuesday,2020-01-01 22:20:13,2020-01-01 23:4:18,Detail
WW2058,Tuesday,Wednesday,2020-01-01 6:50:22,2020-01-01 0:0:36,Detail
WW2059,Monday,Sunday,2020-01-01 7:58:17,2020-01-01 14:8:48,Detail
WW2060,Tuesday,Friday,2020-01-01 16:31:11,2020-01-01 22:45:38,Detail
WW2061,Wednesday,Tuesday,2020-01-01 23:14:23,2020-01-01 6:42:30,Detail
WW2062,Tuesday,Saturday,2020-01-01 0:0:16,2020-01-01 8:19:30,Detail
WW2063,Saturday,Friday,2020-01-01 14:29:11,2020-01-01 16:45:6,Detail
WW2064,Wednesday,Tuesday,2020-01-01 22:47:22,2020-01-01 23:10:58,Detail
WW2065,Sunday,Monday,2020-01-01 6:0:55,2020-01-01 0:0:43,Detail
WW2066,Sunday,Saturday,2020-01-01 7:8:49,2020-01-01 14:28:44,Detail
WW2067,Monday,Tuesday,2020-01-01 15:22:19,2020-01-01 22:15:47,Detail
WW2068,Saturday,Thursday,2020-01-01 23:57:23,2020-01-01 6:48:30,Detail
WW2069,Saturday,Thursday,2020-01-01 0:0:7,2020-01-01 8:36:58,Detail
WW2070,Thursday,Wednesday,2020-01-01 14:16:18,2020-01-01 16:41:33,Detail
WW2071,Monday,Saturday,2020-01-01 22:26:51,2020-01-01 23:10:24,Detail
WW2072,Thursday,Monday,2020-01-01 6:35:34,2020-01-01 0:0:11,Detail
WW2073,Sunday,Monday,2020-01-01 7:19:21,2020-01-01 14:32:49,Detail
WW2074,Sunday,Saturday,2020-01-01 16:3:9,2020-01-01 22:43:57,Detail
WW2075,Tuesday,Friday,2020-01-01 23:9:55,2020-01-01 6:53:18,Detail
WW2076,Tuesday,Wednesday,2020-01-01 0:0:22,2020-01-01 7:15:15,Detail
WW2077,Thursday,Saturday,2020-01-01 14:47:20,2020-01-01 15:53:13,Detail
WW2078,Tuesday,Friday,2020-01-01 22:48:38,2020-01-01 23:56:17,Detail
WW2079,Tuesday,Monday,2020-01-01 6:8:37,2020-01-01 0:0:42,Detail
WW2080,Monday,Wednesday,2020-01-01 8:6:41,2020-01-01 14:42:32,Detail
WW2081,Saturday,Wednesday,2020-01-01 15:47:19,2020-01-01 22:9:16,Detail
WW2082,Thursday,Monday,2020-01-01 23:57:23,2020-01-01 6:35:6,Detail
WW2083,Tuesday,Saturday,2020-01-01 0:0:51,2020-01-01 7:53:8,Detail
WW2084,Monday,Tuesday,2020-01-01 14:49:21,2020-01-01 16:44:29,Detail
WW2085,Sunday,Thursday,2020-01-01 22:0:29,2020-01-01 23:25:17,Detail
WW2086,Tuesday,Thursday,2020-01-01 6:18:53,2020-01-01 0:0:5,Detail
WW2087,Saturday,Friday,2020-01-01 7:59:49,2020-01-01 14:17:2,Detail
WW2088,Friday,Sunday,2020-01-01 15:32:10,2020-01-01 22:59:11,Detail
WW2089,Tuesday,Friday,2020-01-01 23:21:37,2020-01-01 6:2:58,Detail
WW2090,Monday,Friday,2020-01-01 0:0:28,2020-01-01 7:30:50,Detail
WW2091,Saturday,Wednesday,2020-01-01 14:9:15,2020-01-01 16:37:22,Detail
WW2092,Sunday,Sunday,2020-01-01 22:35:39,2020-01-01 23:3:37,Detail
WW2093,Saturday,Monday,2020-01-01 6:23:10,2020-01-01 0:0:20,Detail
WW2094,Tuesday,Tuesday,2020-01-01 7:13:0,2020-01-01 14:38:26,Detail
WW2095,Saturday,Wednesday,2020-01-01 16:18:43,2020-01-01 22:6:25,Detail
WW2096,Monday,Friday,2020-01-01 23:52:59,2020-01-01 6:21:9,Detail
WW2097,Tuesday,Monday,2020-01-01 0:0:9,2020-01-01 7:10:16,Detail
WW2098,Wednesday,Tuesday,2020-01-01 14:53:1,2020-01-01 16:43:11,Detail
WW2099,Wednesday,Sunday,2020-01-01 22:56:17,2020-01-01 23:18:13,Detail
WW2100,Friday,Monday,2020-01-01 6:35:36,2020-01-01 0:0:0,Detail
WW2101,Sunday,Saturday,2020-01-01 8:24:8,2020-01-01 14:29:55,Detail
WW2102,Thursday,Thursday,2020-01-01 15:57:58,2020-01-01 22:39:19,Detail
WW2103,Saturday,Wednesday,2020-01-01 23:50:23,2020-01-01 6:55:56,Detail
WW2104,Saturday,Sunday,2020-01-01 0:0:8,2020-01-01 8:17:52,Detail
WW2105,Tuesday,Tuesday,2020-01-01 14:38:27,2020-01-01 15:19:0,Detail
WW2106,Tuesday,Sunday,2020-01-01 22:2:43,2020-01-01 23:52:37,Detail
WW2107,Thursday,Tuesday,2020-01-01 6:6:38,2020-01-01 0:0:2,Detail
WW2108,Wednesday,Friday,2020-01-01 8:49:23,2020-01-01 14:28:23,Detail
WW2109,Monday,Monday,2020-01-01 16:46:38,2020-01-01 22:34:31,Detail
WW2110,Sunday,Thursday,2020-01-01 23:49:43,2020-01-01 6:6:37,Detail
WW2111,Tuesday,Saturday,2020-01-01 0:0:31,2020-01-01 7:4:0,Detail
WW2112,Monday,Thursday,2020-01-01 14:7:29,2020-01-01 15:11:16,Detail
WW2113,Sunday,Wednesday,2020-01-01 22:39:23,2020-01-01 23:9:21,Detail
WW2114,Sunday,Tuesday,2020-01-01 6:18:5,2020-01-01 0:0:38,Detail
WW2115,Saturday,Thursday,2020-01-01 8:21:6,2020-01-01 14:39:0,Detail
WW2116,Monday,Sunday,2020-01-01 15:43:8,2020-01-01 22:53:12,Detail
WW2117,Monday,Thursday,2020-01-01 23:8:17,2020-01-01 6:39:59,Detail
WW2118,Friday,Tuesday,2020-01-01 0:0:23,2020-01-01 7:48:45,Detail
WW2119,Friday,Monday,2020-01-01 14:16:14,2020-01-01 16:32:29,Detail
WW2120,Friday,Friday,2020-01-01 22:20:28,2020-01-01 23:10:27,Detail
WW2121,Saturday,Friday,2020-01-01 6:12:3,2020-01-01 0:0:42,Detail
WW2122,Tuesday,Saturday,2020-01-01 8:16:46,2020-01-01 14:59:30,Detail
WW2123,Sunday,Thursday,2020-01-01 15:38:29,2020-01-01 22:51:1,Detail
WW2124,Saturday,Thursday,2020-01-01 23:44:8,2020-01-01 6:14:31,Detail
WW2125,Tuesday,Saturday,2020-01-01 0:0:46,2020-01-01 8:1:9,Detail
WW2126,Tuesday,Tuesday,2020-01-01 14:25:19,2020-01-01 16:59:28,Detail
WW2127,Monday,Thursday,2020-01-01 22:14:32,2020-01-01 23:50:31,Detail
WW2128,Friday,Friday,2020-01-01 6:17:44,2020-01-01 0:0:35,Detail
WW2129,Friday,Monday,2020-01-01 7:47:50,2020-01-01 14:53:16,Detail
WW2130,Wednesday,Wednesday,2020-01-01 15:13:37,2020-01-01 22:30:39,Detail
WW2131,Tuesday,Thursday,2020-01-01 23:42:2,2020-01-01 6:4:2,Detail
WW2132,Wednesday,Saturday,2020-01-01 0:0:15,2020-01-01 8:13:10,Detail
WW2133,Friday,Friday,2020-01-01 14:50:42,2020-01-01 15:58:43,Detail
WW2134,Sunday,Tuesday,2020-01-01 22:20:14,2020-01-01 23:53:56,Detail
WW2135,Saturday,Monday,2020-01-01 6:40:51,2020-01-01 0:0:55,Detail
WW2136,Wednesday,Tuesday,2020-01-01 7:57:8,2020-01-01 14:26:43,Detail
WW2137,Sunday,Friday,2020-01-01 16:6:53,2020-01-01 22:29:50,Detail
WW2138,Saturday,Wednesday,2020-01-01 23:8:27,2020-01-01 6:34:42,Detail
WW2139,Sunday,Thursday,2020-01-01 0:0:52,2020-01-01 7:11:35,Detail
WW2140,Sunday,Tuesday,2020-01-01 14:18:11,2020-01-01 16:18:36,Detail
WW2141,Saturday,Tuesday,2020-01-01 22:31:4,2020-01-01 23:12:31,Detail
WW2142,Wednesday,Thursday,2020-01-01 6:38:45,2020-01-01 0:0:59,Detail
WW2143,Tuesday,Friday,2020-01-01 7:7:6,2020-01-01 14:6:34,Detail
WW2144,Friday,Sunday,2020-01-01 15:51:50,2020-01-01 22:29:18,Detail
WW2145,Friday,Wednesday,2020-01-01 23:13:12,2020-01-01 6:9:41,Detail
WW2146,Thursday,Saturday,2020-01-01 0:0:2,2020-01-01 8:36:45,Detail
WW2147,Thursday,Tuesday,2020-01-01 14:55:42,2020-01-01 15:10:54,Detail
WW2148,Friday,Sunday,2020-01-01 22:29:49,2020-01-01 23:12:31,Detail
WW2149,Thursday,Friday,2020-01-01 6:41:51,2020-01-01 0:0:9,Detail
WW2150,Wednesday,Tuesday,2020-01-01 8:29:14,2020-01-01 14:10:14,Detail
WW2151,Friday,Thursday,2020-01-01 16:37:20,2020-01-01 22:8:1,Detail
WW2152,Monday,Monday,2020-01-01 23:37:14,2020-01-01 6:56:43,Detail
WW2153,Wednesday,Tuesday,2020-01-01 0:0:48,2020-01-01 8:17:13,Detail
WW2154,Monday,Thursday,2020-01-01 14:23:1,2020-01-01 15:1:4,Detail
WW2155,Thursday,Wednesday,2020-01-01 22:50:3,2020-01-01 23:35:8,Detail
WW2156,Thursday,Friday,2020-01-01 6:36:5,2020-01-01 0:0:19,Detail
WW2157,Wednesday,Saturday,2020-01-01 7:24:28,2020-01-01 14:21:27,Detail
WW2158,Friday,Sunday,2020-01-01 16:40:17,2020-01-01 22:8:29,Detail
WW2159,Monday,Friday,2020-01-01 23:24:30,2020-01-01 6:17:13,Detail
